ID,total_clients,fraction_fit,strategy,dataset,local_epochs,num_rounds,setting,partitioning_type,labels_per_client,alpha,batch_size,output_folder,learning_rate,dropout,Comments,valid
119,20,0.5,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-23\\16-47-20,"0,002",TRUE,learning rate 0.002 with dropout,Yes
120,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-10-24\\03-15-56,"0,01",FALSE,"learning rate 0.01, with dropout",Yes
121,20,0.7,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-10-24\\04-52-49,"0,01",FALSE,,Yes
122,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-10-24\\04-53-17,"0,001",TRUE,"learning rate 0.001, with dropout",Yes
123,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-10-24\\12-45-15,"0,007",TRUE,learning_rate: 0.007 with dropout,Yes
124,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-10-24\\11-49-41,"0,001",TRUE,"learning rate 0.001, with dropout",Yes
125,20,0.5,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-24\\17-31-57,0.01,FALSE,,Yes
126,20,0.5,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-10-24\\18-16-52,"0,005",FALSE,learning rate 0.005,Yes
127,20,0.5,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-10-27\\20-55-26,"0,005",TRUE,"learning rate 0.005, with dropout",No
128,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,32,outputs\\2024-10-24\\22-20-39,"0,005",FALSE,learning rate 0.005,Yes
129,10,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-30\\02-23-56,0.01,TRUE,,Yes
130,30,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-30\\02-25-10,0.01,TRUE,,Yes
131,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-30\\02-38-38,0.01,TRUE,,Yes
132,10,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-30\12-55-29,0.01,TRUE,,Yes
133,30,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-30\\12-58-31,0.01,TRUE,,Yes
134,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-30\\13-11-49,0.01,FALSE,,Yes
135,10,0.5,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-30\\16-13-54,0.01,FALSE,,Yes
136,20,0.5,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-30\\16-14-08,0.01,FALSE,,Yes
137,30,0.5,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-30\\16-14-40,0.01,FALSE,,Yes
138,30,0.7,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-11-24\\23-03-39,0.01,FALSE,,Yes
139,30,0.7,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,,0.01,FALSE,,Yes
140,20,0.7,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-12-07\\23-09-52,0.01,FALSE,,Yes
141,30,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-12-08\\03-34-47,0.01,FALSE,,Yes
142,20,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-12-08\\03-43-05,0.01,FALSE,,Yes
143,10,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-12-08\\10-41-31,0.01,FALSE,,Yes
144,10,cyclic,FedClusterEnsemble,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-12-08\\17-22-54,0.01,FALSE,,Yes
145,30,0.5,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-12-11\\19-27-57,0.01,FALSE,,Yes
146,30,0.7,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-12-12\\01-21-32,0.01,FALSE,,Yes
147,20,0.7,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-12-12\\01-22-07,0.01,FALSE,,Yes
148,10,0.7,FedAvg,svhn,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-12-12\\01-24-00,0.01,FALSE,,Yes
